년도,연령별,본부구분,이송환자수,,
2020,"100세
이상",창원,15,,
2020,"나이
미입력",창원,0,,
2020,"10세
미만",제주,1163,,
2020,10대,제주,1272,,
2020,20대,제주,2906,,
2020,30대,제주,2873,,
2020,40대,제주,4073,,
2020,50대,제주,5787,,
2020,60대,제주,4805,,
2020,70대,제주,4692,,
2020,80대,제주,4505,,
2020,90대,제주,1221,,
2020,"100세
이상",제주,59,,
2020,"나이
미입력",제주,0,,
